title,address,unit_type,price,bedrooms,bathrooms,apartment_lat,apartment_lon,hydro_included,heat_included,water_included,laundry_included,backyard_included,parking_included,gym_included,sqft,furnished,air_conditioning,walk_score,transit_score,bike_score,img_1,"img_2""",img_3,
"
                            A very nice bachelor!
                        ","97 Gloucester St, Toronto, ON M4Y 1M2, Canada",Apartment,1350,1.00,1,43.6674823,-79.3803007,1,1,1,1,0,0,0,250,0,1,96,90,75,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/rFAAAOSwVZFfCoPR/$_27.JPG,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/5MEAAOSwC5NfCoPX/$_2.JPG,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/KhgAAOSwKERfCoPa/$_2.JPG,
"
                            1 bd, 1 bth, all-inclusive, sep entrance, walkout, TTC, WiFi
                        ","Murison Blvd, M1B 2B2, Scarborough, ON",Apartment,1100,1.00,1,43.7973902,-79.2108256,1,1,1,1,1,0,0,550,0,0,43,64,33,https://i.ebayimg.com/00/s/ODAwWDcxNA==/z/xU4AAOSwNlNfCoDL/$_27.JPG,https://i.ebayimg.com/00/s/NDUwWDgwMA==/z/cMUAAOSwQrNfCoDd/$_2.JPG,https://i.ebayimg.com/00/s/NDUwWDgwMA==/z/h-UAAOSwdAhfCoDq/$_2.JPG,
"
                            1 Bedroom available for Rent- July 1st 2020
                        ","155 Wellesley St E, Toronto, ON M4Y 1J4, Canada",Apartment,1292,1.00,1,43.6663537,-79.3753739,1,1,1,1,1,0,1,700,0,1,94,88,73,https://i.ebayimg.com/00/s/NTc1WDgwMA==/z/6M0AAOSwdfFetEC9/$_27.JPG,https://i.ebayimg.com/00/s/NTM0WDgwMA==/z/nJUAAOSwow5etEDF/$_2.JPG,https://i.ebayimg.com/00/s/MzMzWDUwMA==/z/6UoAAOSwwRFe-Vcf/$_2.JPG,
"
                            BEAUTIFUL, RENOVATED 5 BEDROOM ANNEX APARTMENT
                        ",", toronto  M5R 1G8 ON, Canada",Apartment,5600,5.00,2,43.6683431,-79.4120987,1,1,1,1,1,1,0,2000,0,1,92,96,73,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/WwAAAOSwxwZfCnnz/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/jycAAOSwJPhfCnon/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/I8sAAOSwVe1fCnoL/$_2.JPG,
"
                            2 Bedroom Furnished - Bsmt Apartment - Little Italy
                        ",", m6j2k8, Toronto, ON",Apartment,2100,2.00,1,43.6535323,-79.4114831,0,0,0,0,0,0,0,900,1,1,80,87,60,https://i.ebayimg.com/00/s/NDUwWDgwMA==/z/Xf4AAOSwlltfCnfL/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDUzNA==/z/m2wAAOSww1dfCnfS/$_2.JPG,https://i.ebayimg.com/00/s/NDUwWDgwMA==/z/8ZEAAOSwn~tfCnfa/$_2.JPG,
"
                            BIG Fully furnished single occupancy room in a Condo 
                        ","Shady Golfway, Toronto, ON M3C 3A3, Canada",Apartment,799,3.00,1,43.71801,-79.326,1,1,1,1,1,1,1,1100,1,1,31,64,28,https://i.ebayimg.com/00/s/Mzg4WDgwMA==/z/VY0AAOSwgydfCne4/$_27.PNG,https://i.ebayimg.com/00/s/ODAwWDM4OA==/z/IZwAAOSwMf5fCne5/$_2.PNG,https://i.ebayimg.com/00/s/Mzg4WDgwMA==/z/DbYAAOSwV8lfCne7/$_2.PNG,
"
                            SPACIOUS THREE BEDROOM + DEN! FIRST MONTH FREE!! +750$ VISA CARD
                        ","350 Queens Quay West, Toronto, ON, M5V 3A7",Apartment,3497,3.50,1,43.6385022,-79.3890938,0,0,1,1,0,0,1,1080,0,1,74,97,89,https://i.ebayimg.com/00/s/NTYyWDEwMTU=/z/26cAAOSwDvJe96dP/$_27.JPG,https://i.ebayimg.com/00/s/MTIzNlgxNjAw/z/f0wAAOSw5Mle96dQ/$_2.JPG,https://i.ebayimg.com/00/s/MTIzNlgxNjAw/z/go0AAOSw~cRe96dQ/$_2.JPG,
"
                            SPACIOUS TWO BEDROOMS + DEN!! FIRST MONTH FREE!! +750$ VISA CARD
                        ","350 Queens Quay West, Toronto, ON, M5V 3A7",Apartment,2497,2.50,1,43.6385022,-79.3890938,0,0,1,1,0,0,1,794,0,1,74,97,89,https://i.ebayimg.com/00/s/NTYyWDEwMTU=/z/AZoAAOSw0rVe96dP/$_27.JPG,https://i.ebayimg.com/00/s/MTIzNlgxNjAw/z/j9cAAOSwhl1e96dQ/$_2.JPG,https://i.ebayimg.com/00/s/MTIzNlgxNjAw/z/ZbQAAOSwcLNe96dQ/$_2.JPG,
"
                            SPACIOUS ONE BEDROOM + DEN!! FIRST MONTH FREE!! +750$ VISA CARD!
                        ","350 Queens Quay West, Toronto, ON, M5V 3A7",Apartment,2057,1.50,1,43.6385022,-79.3890938,0,0,1,1,0,0,1,639,0,1,74,97,89,https://i.ebayimg.com/00/s/NTYyWDEwMTU=/z/85EAAOSwmZde96dQ/$_27.JPG,https://i.ebayimg.com/00/s/MTIzNlgxNjAw/z/cyoAAOSw~Ite96dQ/$_2.JPG,https://i.ebayimg.com/00/s/MTIzNlgxNjAw/z/h1MAAOSwyFhe96dQ/$_2.JPG,
"
                            SOLID APPLICANTS ACCEPTED WITH LOW CREDIT
                        ",", North York M2R 3H8 ON, Canada",Apartment,2054,1.00,1,43.7821589,-79.4479737,0,1,1,1,1,1,1,718,0,1,41,66,71,,,,
"
                            Beautiful Downtown Apartment for Rent
                        ","154 Christie St, Toronto, ON M6G 3B4, Canada",Apartment,2100,2.00,1,43.6676621,-79.420139,1,1,1,1,1,0,0,650,1,1,84,82,72,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/dQ4AAOSww8FfCnGl/$_27.JPG,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/oBAAAOSww19fCnGo/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/YNgAAOSwG7FfCnGs/$_2.JPG,
"
                            WE APPROVE GREAT RENTERS WITH LOW CREDIT
                        ",", Oakville L6H 6E2 ON, Canada",Apartment,2059,1.00,1,43.4755109,-79.7219341,0,1,1,1,1,1,1,710,0,1,54,33,58,,,,
"
                            WE HELP RENTERS WITH LOW CREDIT SCORES
                        ",", Scarborough M1J 3G7 ON, Canada",Apartment,2079,1.00,1,43.7485943,-79.210043,0,1,1,1,1,1,1,711,0,1,50,66,45,,,,
"
                            2 BR Apartment downtown @ King & Bathurst Utilities included
                        ",", M6J 3S5, Toronto, ON",Apartment,2100,2.00,1,43.6430999,-79.4149129,1,1,1,1,0,1,0,800,0,1,90,90,62,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/dBEAAOSw8txfCm6a/$_27.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/-QgAAOSw6khfCm6i/$_2.JPG,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/4msAAOSwkjlfCm6p/$_2.JPG,
"
                            WE HELP GOOD TENANTS WITH BAD CREDIT
                        ",", North York M2K 2L8 ON, Canada",Apartment,2094,1.00,1,43.7920749,-79.3917809,0,1,1,1,1,1,1,706,1,1,46,60,64,,,,
"
                            GET HELP RENTING WITH A LOW CREDIT SCORE
                        ",", East York M4G 4J4 ON, Canada",Apartment,2069,1.00,1,43.7143403,-79.3557961,0,1,1,1,1,1,1,709,0,1,56,72,66,,,,
